chunk_idx	page	section	text_excerpt
82		제21조(권한과 책임) ①모든 직원은 분장된 업무의 범위 내에서 직무를 수행하여야 하며 그 직무 수행함에 있어 상당한 책임을 진다.	7. 삭제 <신설 2021.12.24. 규정 제367호, 삭제 2022. 12. 27. 규정 제374호>  8. 4대 폭력, 직장 내 괴롭힘, 갑질 예방 업무 <신설 2021.12.24. 규정 제367호>  제5장  보    칙  제21조(권한과 책임) ①모든 직원은 분장된 업무의 범위 내에서 직무를 수행하여야 하며 그 직무 수행함에 있어 상당한 책임을 진
83		제1조(시행일) 이 규정은 2001년 1월 1일부터 시행한다.	②이사장은 필요하다고 인정하는 경우에는 그 권한의 일부를 소속직원에게 위임할 수 있다.  제22조(특명사항) 이 규정에 의한 업무분장에 불구하고 직원이 이사장으로부터 특명을 받았을 경우에는 그 수명사항을 처리하여야 한다.  제23조(시행규칙) 이 규정의 시행에 필요한 사항은 내규로 정한다.  부칙 (규정 제1호)  제1조(시행일) 이 규정은 2001년 1월
84		제2조(경과규정) 본 규정 시행일로부터 공단 사규에서 규정하고 있는 직종의 명칭 중 “기능직”은 “업무직”으로 개정한 것으로 본다.	제2조(한시정원) 정원 중 운전원 3명은 2003. 6. 30일까지 한시정원을 둔다.  부칙 (규정 제31호)  이 규정은 2001년 4월 4일부터 시행한다.  부칙 (규정 제34호)  이 규정은 2001년 7월 28일부터 시행한다.  부칙 (규정 제38호)  제1조(시행일) 이 규정은 2002년 4월 15일부터 시행한다.  제2조(경과규정) 본 규정 시행
85		이 규정은 2004년 12월 15일부터 시행한다.	부칙 (규정 제48호)  이 규정은 2003년 7월 1일부터 시행한다.  부칙 (규정 제57호)  이 규정은 2004년 1월 1일부터 시행한다.  부칙 (규정 제66호)  이 규정은 2004년 1월 16일부터 시행한다.  부칙 (규정 제79호)  이 규정은 2004년 7월 28일부터 시행한다.  부칙 (규정 제86호)  이 규정은 2004년 12월 15일부
86		이 규정은 발령일(2008년 1월 10일)부터 시행한다.	부칙 (규정 제102호)  이 규정은 2006년 3월 10일부터 시행한다.  부칙 (규정 제117호)  제1조(시행일) 이 규정은 2006년 7월 6일부터 시행한다.  제2조(타 규정의 개정) 이 규정 시행일부터 공단 제 규정에서 규정하고 있는 직종의 명칭 중 “업무직”은 “일반직”으로 개정된 것으로 본다.  부칙 (규정 제146호)  이 규정은 발령일(2
87		제2조(다른 규정의 개정) ①인사규정시행내규 중 다음과 같이 개정한다.	부칙 (규정 제188호)  제1조(시행일) 이 규정은 2009년 7월 1일부터 시행한다.  제2조(다른 규정의 개정) ①인사규정시행내규 중 다음과 같이 개정한다.  제18조 제1항, 제37조 제1항, 제38조 제4항, 제45조 제2항, 별지 제3호서식 및 별지 제17호서식 중 “경영지원팀장”을 “총무팀장”으로 한다.  ②물품관리규정 중 다음과 같이 개정한다
88		제6조 제1항 제2호, 같은 항 제5호, 같은 항 제8호 및 제148조 제1항 제1호 중 “경영지원팀장”을 “총무팀장”으로 한다.	제5조 제2호 및 같은 조 제3호 중 “경영지원팀장”을 “총무팀장”으로 한다.  ③차량관리규정 중 다음과 같이 개정한다.  제4조 제1항 중 “경영지원팀장”을 “총무팀장”으로 한다.  ④회계규정 중 다음과 같이 개정한다.  제6조 제1항 제2호, 같은 항 제5호, 같은 항 제8호 및 제148조 제1항 제1호 중 “경영지원팀장”을 “총무팀장”으로 한다.  ⑤
89		제3조 제2호 중 “직제(본부, 실․센터, 팀)”을 “직제(본부, 단, 실, 팀, 센터, 관)”으로 한다.	제3조 제1항, 제7조 및 제15조 제2항 중 “경영지원팀장”을 “총무팀장”으로 한다.  부칙 (규정 제202호)  제1조(시행일) 이 규정은 2010년 1월 1일부터 시행한다.  제2조(다른 규정의 개정) ①취업규정 중 다음과 같이 개정한다.  제3조 제2호 중 “직제(본부, 실․센터, 팀)”을 “직제(본부, 단, 실, 팀, 센터, 관)”으로 한다.  ②
90		제6조 제2항 및 같은 조 제3항 중 “각 본부(실․센터)”는 “각 본부(단․실)”로 한다.	제6조 제9호중 “장묘관리팀장”을 “장묘센터장”으로 하고, 제68조 제10호 중 “행정자치부”를 “행정안전부”로 한다.  ③공동구관리협의회운영규정 중 다음과 같이 한다.  제4조 제2항 중 “시설본부장”을 “경영본부장”으로 한다.  ④재산관리규정 중 다음과 같이 한다.  제6조 제2항 및 같은 조 제3항 중 “각 본부(실․센터)”는 “각 본부(단․실)”로 
91		별표 1중 직책수행비란의 “센터장”을 “단장”으로 한다.	⑤물품관리규정 중 다음과 같이 한다.  제5조 제4호 중 “각 팀장과 실․센터”를 “각 팀장과 실”로 하고, 제25조 제1항중 “소속본부(실․센터)장”을 “소속본부(단․실)장”으로 하고 별제 제6호서식 중 “본부(실․센터)”를 “본부”로 한다.  ⑥복리후생규정 중 다음과 같이 한다.  별표 1중 직책수행비란의 “센터장”을 “단장”으로 한다.  ⑦제안규정 중
